month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color
2025-04,G0035,B2C,IT Basic,T003,4,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,1085.04,47958.77,10.38,186.84,per_student,200.0,66.67,66.67,3,231.0,484.51,600.53,55.3,1.22,green
2025-04,G0036,B2C,IT Basic,T004,6,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,1627.56,71938.15,8.75,157.5,per_student,300.0,100.0,100.0,3,183.33,440.83,1186.73,72.9,1.23,green
2025-04,G0037,B2C,IT Basic,T005,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,10.25,123.0,per_student,200.0,50.0,50.0,4,160.33,210.33,513.03,70.9,1.16,green
2025-04,G0038,B2C,IT Starter,T006,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.31,203.58,per_student,200.0,100.0,100.0,2,201.33,301.33,418.67,58.1,1.67,green
2025-04,G0039,B2C,IT Basic,T007,8,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,2170.08,95917.54,8.73,157.14,per_student,400.0,133.33,133.33,3,171.33,461.8,1708.28,78.7,1.37,green
2025-04,G0040,B2C,IT Basic,T008,7,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1265.88,55951.9,11.68,140.16,per_student,350.0,87.5,87.5,4,162.0,249.5,1016.38,80.3,1.38,green
2025-04,G0041,B2C,IT Basic,T009,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,10.08,120.96,per_student,200.0,50.0,50.0,4,154.67,204.67,518.69,71.7,1.13,green
2025-04,G0042,B2C,IT Basic,T010,3,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,542.52,23979.38,8.59,103.08,per_student,150.0,37.5,37.5,4,226.33,263.83,278.69,51.4,1.46,green
2025-04,G0043,B2C,IT Starter,T011,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.83,212.94,per_student,200.0,100.0,100.0,2,303.33,403.33,316.67,44.0,2.24,green
2025-04,G0044,B2C,IT Starter,T012,8,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,960.0,42432.0,10.42,125.04,per_student,400.0,133.33,133.33,3,288.67,422.0,538.0,56.0,3.52,green
2025-04,G0045,B2C,IT Starter,T013,6,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,720.0,31824.0,8.97,107.64,per_student,300.0,100.0,100.0,3,315.67,415.67,304.33,42.3,3.46,green
2025-05,G0046,B2B,Business C1,T001,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,11.23,89.84,per_group,300.0,150.0,150.0,2,141.0,291.0,1319.88,81.9,1.45,green
2025-05,G0047,B2B,Business Starter,T002,9,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1610.28,71174.38,11.03,198.54,per_group,300.0,150.0,150.0,2,177.33,327.33,1282.95,79.7,1.83,green
2025-05,G0048,B2B,Business Starter,T003,9,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1610.28,71174.38,10.38,186.84,per_group,300.0,150.0,150.0,2,231.0,381.0,1229.28,76.3,2.13,green
2025-05,G0049,B2B,Business C1,T004,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,8.75,105.0,per_group,300.0,150.0,150.0,2,183.33,438.33,2582.07,85.5,1.6,green
2025-05,G0050,B2B,Business C1,T005,4,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,805.44,35600.45,10.25,82.0,per_group,300.0,150.0,150.0,2,160.33,310.33,495.11,61.5,1.54,green
2025-05,G0051,B2B,Business C1,T006,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.31,90.48,per_group,300.0,150.0,150.0,2,201.33,351.33,655.47,65.1,1.74,green
2025-05,G0052,B2B,Business Starter,T007,9,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1610.28,71174.38,8.73,157.14,per_group,300.0,150.0,150.0,2,171.33,321.33,1288.95,80.0,1.8,green
2025-05,G0053,B2B,Business C1,T008,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,11.68,93.44,per_group,300.0,150.0,150.0,2,162.0,312.0,1298.88,80.6,1.55,green
2025-05,G0054,B2B,Business Starter,T009,10,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1789.2,79082.64,10.08,181.44,per_group,300.0,150.0,150.0,2,154.67,304.67,1484.53,83.0,1.7,green
2025-05,G0055,B2B,Business C1,T010,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,8.59,103.08,per_group,300.0,150.0,150.0,2,226.33,479.41,2540.99,84.1,1.74,green
2025-05,G0056,B2B,Business Starter,T011,5,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,596.4,26360.88,11.83,141.96,per_group,300.0,100.0,100.0,3,303.33,403.33,193.07,32.4,3.38,green
2025-05,G0057,B2B,Business Starter,T012,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,10.42,187.56,per_group,300.0,150.0,150.0,2,433.0,583.0,848.36,59.3,3.26,green
2025-05,G0058,B2B,Business Starter,T013,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.97,107.64,per_group,300.0,100.0,100.0,3,473.5,573.5,380.74,39.9,4.81,green
2025-05,G0059,B2B,Business C1,T014,4,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,805.44,35600.45,11.13,89.04,per_group,300.0,150.0,150.0,2,450.5,600.5,204.94,25.4,2.98,green
2025-05,G0060,B2B,Business C1,T015,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.14,81.12,per_group,300.0,150.0,150.0,2,459.0,609.0,1404.6,69.8,3.02,green
2025-05,G0061,B2B,Business Starter,T016,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,10.22,122.64,per_group,300.0,100.0,100.0,3,431.5,531.5,-54.38,-11.4,4.46,red
2025-05,G0062,B2B,Business Starter,T017,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,10.17,183.06,per_group,300.0,150.0,150.0,2,256.0,406.0,309.68,43.3,2.27,green
2025-05,G0063,B2B,Business C1,T018,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,11.43,91.44,per_group,300.0,150.0,150.0,2,255.0,405.0,1608.6,79.9,2.01,green
2025-05,G0064,B2B,Business Starter,T019,5,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,894.6,39541.32,9.6,172.8,per_group,300.0,150.0,150.0,2,465.0,615.0,279.6,31.3,3.44,green
2025-05,G0065,B2B,Business C1,T020,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,9.47,75.76,per_group,300.0,150.0,150.0,2,453.5,603.5,1007.38,62.5,3.0,green
2025-05,G0066,B2B,Business C1,T001,8,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2416.32,106801.34,11.23,134.76,per_group,300.0,150.0,150.0,2,141.0,425.76,1990.56,82.4,1.46,green
2025-05,G0067,B2B,Business C1,T002,5,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1510.2,66750.84,11.03,132.36,per_group,300.0,150.0,150.0,2,177.33,459.69,1050.51,69.6,1.58,green
2025-05,G0068,B2B,Business Starter,T003,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,10.38,124.56,per_group,300.0,100.0,100.0,3,231.0,331.0,742.52,69.2,2.77,green
2025-05,G0069,B2B,Business C1,T004,9,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2718.36,120151.51,8.75,105.0,per_group,300.0,150.0,150.0,2,183.33,438.33,2280.03,83.9,1.6,green
2025-05,G0070,B2B,Business C1,T005,7,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2114.28,93451.18,10.25,123.0,per_group,300.0,150.0,150.0,2,160.33,433.33,1680.95,79.5,1.52,green
2025-05,G0071,B2B,Business C1,T006,4,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,805.44,35600.45,11.31,90.48,per_group,300.0,150.0,150.0,2,201.33,351.33,454.11,56.4,1.74,green
2025-05,G0072,B2B,Business Starter,T007,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,8.73,104.76,per_group,300.0,100.0,100.0,3,171.33,271.33,205.79,43.1,2.27,green
2025-05,G0073,B2B,Business Starter,T008,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,11.68,210.24,per_group,300.0,150.0,150.0,2,162.0,312.0,1119.36,78.2,1.74,green
2025-05,G0074,B2B,Business Starter,T009,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,10.08,120.96,per_group,300.0,100.0,100.0,3,154.67,254.67,699.57,73.3,2.14,green
2025-05,G0075,B2B,Business Starter,T010,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,8.59,154.62,per_group,300.0,150.0,150.0,2,226.33,376.33,339.35,47.4,2.1,green
2025-05,G0076,B2B,Business Starter,T011,5,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,596.4,26360.88,11.83,141.96,per_group,300.0,100.0,100.0,3,303.33,403.33,193.07,32.4,3.38,green
2025-05,G0077,B2B,Business Starter,T012,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,10.42,125.04,per_group,300.0,100.0,100.0,3,433.0,533.0,659.8,55.3,4.47,green
2025-05,G0078,B2B,Business Starter,T013,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.97,107.64,per_group,300.0,100.0,100.0,3,473.5,573.5,380.74,39.9,4.81,green
2025-05,G0079,B2C,IT Basic,T014,8,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1446.72,63945.02,11.13,133.56,per_student,400.0,100.0,100.0,4,450.5,550.5,896.22,61.9,3.04,green
2025-05,G0080,B2C,IT Starter,T015,7,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,840.0,37128.0,10.14,121.68,per_student,350.0,116.67,116.67,3,459.0,575.67,264.33,31.5,4.8,green
2025-05,G0081,B2C,IT Basic,T016,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,10.22,122.64,per_student,200.0,50.0,50.0,4,431.5,481.5,241.86,33.4,2.66,green
2025-05,G0082,B2C,IT Basic,T017,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,10.17,122.04,per_student,200.0,50.0,50.0,4,256.0,306.0,417.36,57.7,1.69,green
2025-05,G0083,B2C,IT Starter,T018,8,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,960.0,42432.0,11.43,137.16,per_student,400.0,133.33,133.33,3,255.0,388.33,571.67,59.5,3.24,green
2025-05,G0084,B2C,IT Basic,T019,6,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1085.04,47958.77,9.6,115.2,per_student,300.0,75.0,75.0,4,465.0,540.0,545.04,50.2,2.99,green
2025-05,G0085,B2C,IT Basic,T020,8,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1446.72,63945.02,9.47,113.64,per_student,400.0,100.0,100.0,4,453.5,553.5,893.22,61.7,3.06,green
2025-05,G0086,B2C,IT Starter,T001,3,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,360.0,15912.0,11.23,134.76,per_student,150.0,50.0,50.0,3,141.0,191.0,169.0,46.9,1.59,green
2025-05,G0087,B2C,IT Basic,T002,3,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,542.52,23979.38,11.03,132.36,per_student,150.0,37.5,37.5,4,177.33,214.83,327.69,60.4,1.19,green
2025-05,G0088,B2C,IT Starter,T003,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,10.38,186.84,per_student,200.0,100.0,100.0,2,231.0,331.0,389.0,54.0,1.84,green
2025-05,G0089,B2C,IT Basic,T004,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,8.75,105.0,per_student,200.0,50.0,50.0,4,183.33,233.33,490.03,67.7,1.29,green
2025-05,G0090,B2C,IT Starter,T005,5,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,600.0,26520.0,10.25,123.0,per_student,250.0,83.33,83.33,3,160.33,243.66,356.34,59.4,2.03,green
2025-05,G0091,B2C,IT Starter,T006,3,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,360.0,15912.0,11.31,135.72,per_student,150.0,50.0,50.0,3,201.33,251.33,108.67,30.2,2.09,green
2025-05,G0092,B2C,IT Starter,T007,3,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,540.0,23868.0,8.73,157.14,per_student,150.0,75.0,75.0,2,171.33,246.33,293.67,54.4,1.37,green
2025-05,G0093,B2C,IT Starter,T008,3,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,360.0,15912.0,11.68,140.16,per_student,150.0,50.0,50.0,3,162.0,212.0,148.0,41.1,1.77,green
2025-05,G0094,B2C,IT Starter,T009,6,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,720.0,31824.0,10.08,120.96,per_student,300.0,100.0,100.0,3,154.67,254.67,465.33,64.6,2.12,green
2025-05,G0095,B2C,IT Basic,T010,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,8.59,103.08,per_student,200.0,50.0,50.0,4,226.33,276.33,447.03,61.8,1.53,green
2025-05,G0096,B2C,IT Starter,T011,4,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,480.0,21216.0,11.83,141.96,per_student,200.0,66.67,66.67,3,303.33,370.0,110.0,22.9,3.08,green
