month,teacher_id,type,status,norm_lessons_60min_month,actual_lessons_60min,hours_diff,deviation_type,deviation_comment,utilization_pct,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-05,T004,part-time,active,40,46,6,over,Понаднормове навантаження другий місяць,115.0,8.75,402.5,17790.5,20.12,4.03,24.15,889,178,1067,19.28,800.0,445.93,19710
2025-05,T005,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,10.25,328.0,14497.6,16.4,3.28,19.68,724,144,869,19.28,800.0,366.96,16219
2025-05,T006,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,11.31,361.92,15996.86,18.1,3.62,21.72,800,160,960,19.28,800.0,402.92,17809
2025-05,T007,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,8.73,279.36,12347.71,13.97,2.79,16.76,617,123,740,19.28,800.0,315.4,13940
2025-05,T008,part-time,active,40,33,-7,under,Навантаження нижче норми,82.5,11.68,385.44,17036.45,19.27,3.85,23.12,851,170,1021,19.28,800.0,427.84,18910
2025-05,T009,part-time,active,40,44,4,over,Заміщення T003 + власні групи,110.0,10.08,443.52,19603.58,22.18,4.44,26.62,980,196,1176,19.28,800.0,489.42,21632
2025-05,T010,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,8.59,274.88,12149.7,13.74,2.75,16.49,607,121,728,19.28,800.0,310.65,13730
2025-05,T011,full-time,active,60,63,3,over,Додаткові заняття за запитом студентів,105.0,11.83,745.29,32941.82,37.26,7.45,44.71,1646,329,1976,19.28,800.0,809.28,35770
2025-05,T012,full-time,active,60,50,-10,under,Навантаження нижче норми,83.33,10.42,521.0,23028.2,26.05,5.21,31.26,1151,230,1381,19.28,800.0,571.54,25262
2025-05,T013,full-time,active,60,48,-12,under,Навантаження нижче норми,80.0,8.97,430.56,19030.75,21.53,4.31,25.84,951,190,1142,19.28,800.0,475.68,21025
2025-05,T014,full-time,active,60,49,-11,under,Навантаження нижче норми,81.67,11.13,545.37,24105.35,27.27,5.45,32.72,1205,240,1446,19.28,800.0,597.37,26403
2025-05,T015,full-time,active,60,48,-12,under,Навантаження нижче норми,80.0,10.14,486.72,21513.02,24.34,4.87,29.21,1075,215,1291,19.28,800.0,535.21,23656
2025-05,T016,full-time,active,60,50,-10,under,Навантаження нижче норми,83.33,10.22,511.0,22586.2,25.55,5.11,30.66,1129,225,1355,19.28,800.0,560.94,24793
2025-05,T017,part-time,new,40,32,-8,under,Навантаження нижче норми,80.0,10.17,325.44,14384.45,16.27,3.25,19.52,719,143,862,19.28,800.0,364.24,16099
2025-05,T018,part-time,new,40,18,-22,under,"Новий викладач: перший місяць, мінімум груп",45.0,11.43,205.74,9093.71,10.29,2.06,12.35,454,91,545,19.28,800.0,237.37,10491
2025-05,T019,full-time,new,60,28,-32,under,Новий FT-викладач: неповний розклад,46.67,9.6,268.8,11880.96,13.44,2.69,16.13,594,118,712,19.28,800.0,304.21,13446
2025-05,T020,full-time,new,60,48,-12,under,Навантаження нижче норми,80.0,9.47,454.56,20091.55,22.73,4.55,27.28,1004,201,1205,19.28,800.0,501.12,22149
