month,teacher_id,type,status,max_hours_month,norm_lessons_60min_month,actual_lessons_60min,hours_diff,deviation_type,deviation_comment,utilization_pct,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-05,T007,part-time,active,70,70,52,-18,,,74.29,10.3,535.6,22227.4,26.78,5.36,32.14,1111,222,1333,19.28,800.12,587.02,24361
2025-05,T008,part-time,active,70,70,39,-31,,,55.71,9.8,382.2,15861.3,19.11,3.82,22.93,793,158,951,19.28,800.12,424.41,17613
2025-05,T009,part-time,active,70,70,39,-31,,,55.71,10.6,413.4,17156.1,20.67,4.13,24.8,857,171,1029,19.28,800.12,457.48,18985
2025-05,T010,part-time,active,70,70,52,-18,,,74.29,10.1,525.2,21795.8,26.26,5.25,31.51,1089,217,1307,19.28,800.12,575.99,23903
2025-05,T011,full-time,active,100,100,81,-19,,,81.0,12.5,1012.5,42018.75,50.62,10.12,60.74,2100,419,2520,19.28,800.12,1092.52,45339
2025-05,T012,full-time,active,100,100,81,-19,,,81.0,12.0,972.0,40338.0,48.6,9.72,58.32,2016,403,2420,19.28,800.12,1049.6,43558
2025-05,T013,full-time,active,100,100,68,-32,,,68.0,11.8,802.4,33299.6,40.12,8.02,48.14,1664,332,1997,19.28,800.12,869.82,36097
2025-05,T014,full-time,active,100,100,81,-19,,,81.0,12.2,988.2,41010.3,49.41,9.88,59.29,2050,410,2460,19.28,800.12,1066.77,44270
2025-05,T015,full-time,active,100,100,26,-74,under,Нижче норми: мало груп,26.0,11.5,299.0,12408.5,14.95,2.99,17.94,620,124,744,19.28,800.12,336.22,13953
2025-05,T016,full-time,active,100,100,54,-46,under,Нижче норми: мало груп,54.0,11.9,642.6,26667.9,32.13,6.43,38.56,1333,266,1600,19.28,800.12,700.44,29068
2025-05,T017,part-time,active,70,70,58,-12,,,82.86,10.4,603.2,25032.8,30.16,6.03,36.19,1251,250,1501,19.28,800.12,658.67,27334
2025-05,T018,part-time,active,70,70,14,-56,under,Нижче норми: мало груп,20.0,9.7,135.8,5635.7,6.79,1.36,8.15,281,56,338,19.28,800.12,163.23,6774
2025-05,T019,full-time,active,100,100,0,-100,under,Викладач без груп у цьому місяці,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0,0,0,19.28,800.12,19.28,800
2025-05,T020,full-time,active,100,100,0,-100,under,Викладач без груп у цьому місяці,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0,0,0,19.28,800.12,19.28,800
