month,teacher_id,type,status,max_hours_month,planned_hours,actual_hours,hours_diff,underfulfillment_reason,utilization_pct,norm_lessons_60min_month,actual_lessons_60min,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,salary_via_rate_usd,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-04,T013,full-time,active,100,94,92,0,nan,92.0,60,92,8.97,947.0,41857.0,538.2,47.35,9.47,56.82,2093.0,419.0,2512.0,19.28,800.0,1023.1,45169.0
2025-04,T014,full-time,active,100,82,79,0,nan,79.0,60,79,11.13,901.0,39824.0,667.8,45.05,9.01,54.06,1991.0,398.0,2389.0,19.28,800.0,974.34,43013.0
2025-04,T015,full-time,active,100,91,89,0,nan,89.0,60,89,10.14,918.0,40576.0,608.4,45.9,9.18,55.08,2029.0,406.0,2435.0,19.28,800.0,992.36,43811.0
2025-04,T016,full-time,active,100,93,93,0,nan,93.0,60,93,10.22,863.0,38145.0,613.2,43.15,8.63,51.78,1907.0,381.0,2288.0,19.28,800.0,934.06,41233.0
2025-05,T001,part-time,active,70,56,54,0,nan,77.1,40,54,11.23,423.0,18697.0,449.2,21.15,4.23,25.38,935.0,187.0,1122.0,19.28,800.0,467.66,20619.0
2025-05,T002,part-time,active,70,60,59,0,nan,84.3,40,59,11.03,532.0,23514.0,441.2,26.6,5.32,31.92,1176.0,235.0,1411.0,19.28,800.0,583.2,25725.0
2025-05,T003,part-time,active,70,60,37,-23,Хвороба (лікарняний),52.9,40,37,10.38,693.0,30631.0,415.2,34.65,6.93,41.58,1532.0,306.0,1838.0,19.28,800.0,753.86,33269.0
2025-05,T004,part-time,active,70,65,64,0,nan,91.4,40,64,8.75,550.0,24310.0,350.0,27.5,5.5,33.0,1216.0,243.0,1459.0,19.28,800.0,602.28,26569.0
2025-05,T005,part-time,active,70,69,66,0,nan,94.3,40,66,10.25,481.0,21260.0,410.0,24.05,4.81,28.86,1063.0,213.0,1276.0,19.28,800.0,529.14,23336.0
2025-05,T006,part-time,active,70,58,56,0,nan,80.0,40,56,11.31,604.0,26697.0,452.4,30.2,6.04,36.24,1335.0,267.0,1602.0,19.28,800.0,659.52,29099.0
2025-05,T007,part-time,active,70,69,68,0,nan,97.1,40,68,8.73,514.0,22719.0,349.2,25.7,5.14,30.84,1136.0,227.0,1363.0,19.28,800.0,564.12,24882.0
2025-05,T008,part-time,active,70,61,58,0,nan,82.9,40,58,11.68,486.0,21481.0,467.2,24.3,4.86,29.16,1074.0,215.0,1289.0,19.28,800.0,534.44,23570.0
2025-05,T009,part-time,active,70,58,57,0,nan,81.4,40,57,10.08,464.0,20509.0,403.2,23.2,4.64,27.84,1025.0,205.0,1230.0,19.28,800.0,511.12,22539.0
2025-05,T010,part-time,active,70,61,59,0,nan,84.3,40,59,8.59,679.0,30012.0,343.6,33.95,6.79,40.74,1501.0,300.0,1801.0,19.28,800.0,739.02,32613.0
2025-05,T011,full-time,active,100,83,80,0,nan,80.0,60,80,11.83,910.0,40222.0,709.8,45.5,9.1,54.6,2011.0,402.0,2413.0,19.28,800.0,983.88,43435.0
2025-05,T012,full-time,active,100,85,84,0,nan,84.0,60,84,10.42,866.0,38277.0,625.2,43.3,8.66,51.96,1914.0,383.0,2297.0,19.28,800.0,937.24,41374.0
2025-05,T013,full-time,active,100,95,92,0,nan,92.0,60,92,8.97,947.0,41857.0,538.2,47.35,9.47,56.82,2093.0,419.0,2512.0,19.28,800.0,1023.1,45169.0
2025-05,T014,full-time,active,100,94,92,0,nan,92.0,60,92,11.13,901.0,39824.0,667.8,45.05,9.01,54.06,1991.0,398.0,2389.0,19.28,800.0,974.34,43013.0
2025-05,T015,full-time,active,100,95,90,0,nan,90.0,60,90,10.14,918.0,40576.0,608.4,45.9,9.18,55.08,2029.0,406.0,2435.0,19.28,800.0,992.36,43811.0
2025-05,T016,full-time,active,100,97,94,0,nan,94.0,60,94,10.22,863.0,38145.0,613.2,43.15,8.63,51.78,1907.0,381.0,2288.0,19.28,800.0,934.06,41233.0
2025-05,T017,part-time,new,70,62,59,0,nan,84.3,40,59,10.17,512.0,22630.0,406.8,25.6,5.12,30.72,1132.0,226.0,1358.0,19.28,800.0,562.0,24788.0
2025-05,T018,part-time,new,70,57,55,0,nan,78.6,40,55,11.43,510.0,22542.0,457.2,25.5,5.1,30.6,1127.0,225.0,1352.0,19.28,800.0,559.88,24694.0
2025-05,T019,full-time,new,100,90,88,0,nan,88.0,60,88,9.6,930.0,41106.0,576.0,46.5,9.3,55.8,2055.0,411.0,2466.0,19.28,800.0,1005.08,44372.0
2025-05,T020,full-time,new,100,85,84,0,nan,84.0,60,84,9.47,907.0,40089.0,568.2,45.35,9.07,54.42,2004.0,401.0,2405.0,19.28,800.0,980.7,43294.0
