month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color,revenue_usd,opex_allocated_usd,teacher_tax_pdfo_usd,teacher_tax_vz_usd,teacher_tax_total_usd,accounting_usd,total_cost_v11_usd,profit_v11_usd,margin_v11_pct,profitability_color_v11,opex_allocated_usd,teacher_tax_pdfo_usd,teacher_tax_vz_usd,teacher_tax_total_usd,accounting_usd,total_cost_v11_usd,profit_v11_usd,margin_v11_pct,profitability_color_v11
2025-04,G0030,B2B,Business C1,T014,6,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1812.24,80101.01,11.13,133.56,per_group,300.0,150.0,150.0,2,133.56,283.56,1528.68,84.4,0.94,green,1812.24,371.51,6.68,1.34,8.02,19.28,682.37,1129.87,62.3,green,371.51,6.68,1.34,8.02,19.28,682.37,1129.87,62.3,green
2025-04,G0031,B2C,IT Starter,T015,8,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,960.0,42432.0,10.14,121.68,per_student,400.0,133.33,133.33,3,121.68,255.01,704.99,73.4,2.13,green,960.0,196.8,6.08,1.22,7.3,19.28,478.39,481.61,50.2,orange,196.8,6.08,1.22,7.3,19.28,478.39,481.61,50.2,orange
2025-04,G0032,B2C,IT Starter,T016,4,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,480.0,21216.0,10.22,122.64,per_student,200.0,66.67,66.67,3,122.64,189.31,290.69,60.6,1.58,green,480.0,98.4,6.13,1.23,7.36,19.28,314.35,165.65,34.5,orange,98.4,6.13,1.23,7.36,19.28,314.35,165.65,34.5,orange
2025-04,G0033,B2C,IT Basic,T001,6,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1085.04,47958.77,11.23,134.76,per_student,300.0,75.0,75.0,4,134.76,209.76,875.28,80.7,1.16,green,1085.04,222.43,6.74,1.35,8.09,19.28,459.56,625.48,57.6,orange,222.43,6.74,1.35,8.09,19.28,459.56,625.48,57.6,orange
2025-04,G0034,B2C,IT Starter,T002,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.03,198.54,per_student,200.0,100.0,100.0,2,198.54,298.54,421.46,58.5,1.66,green,720.0,147.6,9.93,1.99,11.92,19.28,477.34,242.66,33.7,orange,147.6,9.93,1.99,11.92,19.28,477.34,242.66,33.7,orange
2025-04,G0035,B2C,IT Basic,T003,4,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,1085.04,47958.77,10.38,186.84,per_student,200.0,66.67,66.67,3,186.84,253.51,831.53,76.6,0.93,green,1085.04,222.43,9.34,1.87,11.21,19.28,506.43,578.61,53.3,orange,222.43,9.34,1.87,11.21,19.28,506.43,578.61,53.3,orange
2025-04,G0036,B2C,IT Basic,T004,6,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,1627.56,71938.15,8.75,157.5,per_student,300.0,100.0,100.0,3,157.5,257.5,1370.06,84.2,0.95,green,1627.56,333.65,7.88,1.57,9.45,19.28,619.88,1007.68,61.9,green,333.65,7.88,1.57,9.45,19.28,619.88,1007.68,61.9,green
2025-04,G0037,B2C,IT Basic,T005,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,10.25,123.0,per_student,200.0,50.0,50.0,4,123.0,173.0,550.36,76.1,0.96,green,723.36,148.29,6.15,1.23,7.38,19.28,347.95,375.41,51.9,orange,148.29,6.15,1.23,7.38,19.28,347.95,375.41,51.9,orange
2025-04,G0038,B2C,IT Starter,T006,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.31,203.58,per_student,200.0,100.0,100.0,2,203.58,303.58,416.42,57.8,1.69,green,720.0,147.6,10.18,2.04,12.22,19.28,482.68,237.32,33.0,orange,147.6,10.18,2.04,12.22,19.28,482.68,237.32,33.0,orange
2025-04,G0039,B2C,IT Basic,T007,8,90,1.5,3,12,18.0,15.07,632.04,678.0,271.26,2170.08,95917.54,8.73,157.14,per_student,400.0,133.33,133.33,3,157.14,290.47,1879.61,86.6,1.07,green,2170.08,444.87,7.86,1.57,9.43,19.28,764.05,1406.03,64.8,green,444.87,7.86,1.57,9.43,19.28,764.05,1406.03,64.8,green
2025-04,G0040,B2C,IT Basic,T008,7,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,1265.88,55951.9,11.68,140.16,per_student,350.0,87.5,87.5,4,140.16,227.66,1038.22,82.0,1.26,green,1265.88,259.51,7.01,1.4,8.41,19.28,514.86,751.02,59.3,orange,259.51,7.01,1.4,8.41,19.28,514.86,751.02,59.3,orange
2025-04,G0041,B2C,IT Basic,T009,4,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,723.36,31972.51,10.08,120.96,per_student,200.0,50.0,50.0,4,120.96,170.96,552.4,76.4,0.95,green,723.36,148.29,6.05,1.21,7.26,19.28,345.79,377.57,52.2,orange,148.29,6.05,1.21,7.26,19.28,345.79,377.57,52.2,orange
2025-04,G0042,B2C,IT Basic,T010,3,90,1.5,2,8,12.0,15.07,632.04,678.0,180.84,542.52,23979.38,8.59,103.08,per_student,150.0,37.5,37.5,4,103.08,140.58,401.94,74.1,0.78,green,542.52,111.22,5.15,1.03,6.18,19.28,277.26,265.26,48.9,orange,111.22,5.15,1.03,6.18,19.28,277.26,265.26,48.9,orange
2025-04,G0043,B2C,IT Starter,T011,4,90,1.5,3,12,18.0,10.0,419.0,360.0,180.0,720.0,31824.0,11.83,212.94,per_student,200.0,100.0,100.0,2,212.94,312.94,407.06,56.5,1.74,green,720.0,147.6,10.65,2.13,12.78,19.28,492.6,227.4,31.6,orange,147.6,10.65,2.13,12.78,19.28,492.6,227.4,31.6,orange
2025-04,G0044,B2C,IT Starter,T012,8,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,960.0,42432.0,10.42,125.04,per_student,400.0,133.33,133.33,3,125.04,258.37,701.63,73.1,2.15,green,960.0,196.8,6.25,1.25,7.5,19.28,481.95,478.05,49.8,orange,196.8,6.25,1.25,7.5,19.28,481.95,478.05,49.8,orange
2025-04,G0045,B2C,IT Starter,T013,6,90,1.5,2,8,12.0,10.0,419.0,360.0,120.0,720.0,31824.0,8.97,107.64,per_student,300.0,100.0,100.0,3,107.64,207.64,512.36,71.2,1.73,green,720.0,147.6,5.38,1.08,6.46,19.28,380.98,339.02,47.1,orange,147.6,5.38,1.08,6.46,19.28,380.98,339.02,47.1,orange
2025-05,G0046,B2B,Business C1,T001,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,11.23,89.84,per_group,300.0,150.0,150.0,2,89.84,239.84,1371.04,85.1,1.19,green,1610.88,330.23,4.49,0.9,5.39,19.28,594.74,1016.14,63.1,green,330.23,4.49,0.9,5.39,19.28,594.74,1016.14,63.1,green
2025-05,G0047,B2B,Business Starter,T002,9,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1610.28,71174.38,11.03,198.54,per_group,300.0,150.0,150.0,2,198.54,348.54,1261.74,78.4,1.95,green,1610.28,330.11,9.93,1.99,11.92,19.28,709.85,900.43,55.9,orange,330.11,9.93,1.99,11.92,19.28,709.85,900.43,55.9,orange
2025-05,G0048,B2B,Business Starter,T003,9,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1610.28,71174.38,10.38,186.84,per_group,300.0,150.0,150.0,2,186.84,336.84,1273.44,79.1,1.88,green,1610.28,330.11,9.34,1.87,11.21,19.28,697.44,912.84,56.7,orange,330.11,9.34,1.87,11.21,19.28,697.44,912.84,56.7,orange
2025-05,G0049,B2B,Business C1,T004,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,8.75,105.0,per_group,300.0,150.0,150.0,2,105.0,255.0,2765.4,91.6,0.84,green,3020.4,619.18,5.25,1.05,6.3,19.28,899.76,2120.64,70.2,green,619.18,5.25,1.05,6.3,19.28,899.76,2120.64,70.2,green
2025-05,G0050,B2B,Business C1,T005,4,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,805.44,35600.45,10.25,82.0,per_group,300.0,150.0,150.0,2,82.0,232.0,573.44,71.2,1.15,green,805.44,165.12,4.1,0.82,4.92,19.28,421.32,384.12,47.7,orange,165.12,4.1,0.82,4.92,19.28,421.32,384.12,47.7,orange
2025-05,G0051,B2B,Business C1,T006,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.31,90.48,per_group,300.0,150.0,150.0,2,90.48,240.48,766.32,76.1,1.19,green,1006.8,206.39,4.52,0.9,5.42,19.28,471.57,535.23,53.2,orange,206.39,4.52,0.9,5.42,19.28,471.57,535.23,53.2,orange
2025-05,G0052,B2B,Business Starter,T007,9,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1610.28,71174.38,8.73,157.14,per_group,300.0,150.0,150.0,2,157.14,307.14,1303.14,80.9,1.72,green,1610.28,330.11,7.86,1.57,9.43,19.28,665.96,944.32,58.6,orange,330.11,7.86,1.57,9.43,19.28,665.96,944.32,58.6,orange
2025-05,G0053,B2B,Business C1,T008,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,11.68,93.44,per_group,300.0,150.0,150.0,2,93.44,243.44,1367.44,84.9,1.21,green,1610.88,330.23,4.67,0.93,5.6,19.28,598.55,1012.33,62.8,green,330.23,4.67,0.93,5.6,19.28,598.55,1012.33,62.8,green
2025-05,G0054,B2B,Business Starter,T009,10,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1789.2,79082.64,10.08,181.44,per_group,300.0,150.0,150.0,2,181.44,331.44,1457.76,81.5,1.85,green,1789.2,366.79,9.07,1.81,10.88,19.28,728.39,1060.81,59.3,orange,366.79,9.07,1.81,10.88,19.28,728.39,1060.81,59.3,orange
2025-05,G0055,B2B,Business C1,T010,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,8.59,103.08,per_group,300.0,150.0,150.0,2,103.08,253.08,2767.32,91.6,0.84,green,3020.4,619.18,5.15,1.03,6.18,19.28,897.72,2122.68,70.3,green,619.18,5.15,1.03,6.18,19.28,897.72,2122.68,70.3,green
2025-05,G0056,B2B,Business Starter,T011,5,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,596.4,26360.88,11.83,141.96,per_group,300.0,100.0,100.0,3,141.96,241.96,354.44,59.4,2.03,green,596.4,122.26,7.1,1.42,8.52,19.28,392.02,204.38,34.3,orange,122.26,7.1,1.42,8.52,19.28,392.02,204.38,34.3,orange
2025-05,G0057,B2B,Business Starter,T012,8,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1431.36,63266.11,10.42,187.56,per_group,300.0,150.0,150.0,2,187.56,337.56,1093.8,76.4,1.89,green,1431.36,293.43,9.38,1.88,11.26,19.28,661.53,769.83,53.8,orange,293.43,9.38,1.88,11.26,19.28,661.53,769.83,53.8,orange
2025-05,G0058,B2B,Business Starter,T013,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.97,107.64,per_group,300.0,100.0,100.0,3,107.64,207.64,746.6,78.2,1.74,green,954.24,195.62,5.38,1.08,6.46,19.28,429.0,525.24,55.0,orange,195.62,5.38,1.08,6.46,19.28,429.0,525.24,55.0,orange
2025-05,G0059,B2B,Business C1,T014,4,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,805.44,35600.45,11.13,89.04,per_group,300.0,150.0,150.0,2,89.04,239.04,566.4,70.3,1.19,green,805.44,165.12,4.45,0.89,5.34,19.28,428.78,376.66,46.8,orange,165.12,4.45,0.89,5.34,19.28,428.78,376.66,46.8,orange
2025-05,G0060,B2B,Business C1,T015,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.14,81.12,per_group,300.0,150.0,150.0,2,81.12,231.12,1782.48,88.5,1.15,green,2013.6,412.79,4.06,0.81,4.87,19.28,668.06,1345.54,66.8,green,412.79,4.06,0.81,4.87,19.28,668.06,1345.54,66.8,green
2025-05,G0061,B2B,Business Starter,T016,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,10.22,122.64,per_group,300.0,100.0,100.0,3,122.64,222.64,254.48,53.3,1.87,green,477.12,97.81,6.13,1.23,7.36,19.28,347.09,130.03,27.3,red,97.81,6.13,1.23,7.36,19.28,347.09,130.03,27.3,red
2025-05,G0062,B2B,Business Starter,T017,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,10.17,183.06,per_group,300.0,150.0,150.0,2,183.06,333.06,382.62,53.5,1.86,green,715.68,146.71,9.15,1.83,10.98,19.28,510.03,205.65,28.7,red,146.71,9.15,1.83,10.98,19.28,510.03,205.65,28.7,red
2025-05,G0063,B2B,Business C1,T018,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,11.43,91.44,per_group,300.0,150.0,150.0,2,91.44,241.44,1772.16,88.0,1.2,green,2013.6,412.79,4.57,0.91,5.48,19.28,678.99,1334.61,66.3,green,412.79,4.57,0.91,5.48,19.28,678.99,1334.61,66.3,green
2025-05,G0064,B2B,Business Starter,T019,5,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,894.6,39541.32,9.6,172.8,per_group,300.0,150.0,150.0,2,172.8,322.8,571.8,63.9,1.8,green,894.6,183.39,8.64,1.73,10.37,19.28,535.84,358.76,40.1,orange,183.39,8.64,1.73,10.37,19.28,535.84,358.76,40.1,orange
2025-05,G0065,B2B,Business C1,T020,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,9.47,75.76,per_group,300.0,150.0,150.0,2,75.76,225.76,1385.12,86.0,1.12,green,1610.88,330.23,3.79,0.76,4.55,19.28,579.82,1031.06,64.0,green,330.23,3.79,0.76,4.55,19.28,579.82,1031.06,64.0,green
2025-05,G0066,B2B,Business C1,T001,8,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2416.32,106801.34,11.23,134.76,per_group,300.0,150.0,150.0,2,134.76,284.76,2131.56,88.2,0.94,green,2416.32,495.35,6.74,1.35,8.09,19.28,807.48,1608.84,66.6,green,495.35,6.74,1.35,8.09,19.28,807.48,1608.84,66.6,green
2025-05,G0067,B2B,Business C1,T002,5,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1510.2,66750.84,11.03,132.36,per_group,300.0,150.0,150.0,2,132.36,282.36,1227.84,81.3,0.93,green,1510.2,309.59,6.62,1.32,7.94,19.28,619.17,891.03,59.0,orange,309.59,6.62,1.32,7.94,19.28,619.17,891.03,59.0,orange
2025-05,G0068,B2B,Business Starter,T003,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,10.38,124.56,per_group,300.0,100.0,100.0,3,124.56,224.56,848.96,79.1,1.88,green,1073.52,220.07,6.23,1.25,7.48,19.28,471.39,602.13,56.1,orange,220.07,6.23,1.25,7.48,19.28,471.39,602.13,56.1,orange
2025-05,G0069,B2B,Business C1,T004,9,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2718.36,120151.51,8.75,105.0,per_group,300.0,150.0,150.0,2,105.0,255.0,2463.36,90.6,0.84,green,2718.36,557.26,5.25,1.05,6.3,19.28,837.84,1880.52,69.2,green,557.26,5.25,1.05,6.3,19.28,837.84,1880.52,69.2,green
2025-05,G0070,B2B,Business C1,T005,7,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2114.28,93451.18,10.25,123.0,per_group,300.0,150.0,150.0,2,123.0,273.0,1841.28,87.1,0.9,green,2114.28,433.43,6.15,1.23,7.38,19.28,733.09,1381.19,65.3,green,433.43,6.15,1.23,7.38,19.28,733.09,1381.19,65.3,green
